hour,date,total ride count,difference from mean
2,2015-03-06,978,-1.2739411720219902
2,2015-03-07,2688,-0.3328009013993955
2,2015-03-09,440,-1.5700426138903856
2,2015-03-10,493,-1.5408727692453579
2,2015-03-11,565,-1.5012458104823012
2,2015-03-12,718,-1.4170385231108058
2,2015-03-13,1018,-1.2519261949314033
2,2015-03-14,2301,-0.5457958047508248
2,2015-03-15,2655,-0.35096325749912977
2,2015-03-16,623,-1.46932409370095
2,2015-03-17,470,-1.5535313810724454
2,2015-03-18,786,-1.379613062056808
2,2015-03-19,677,-1.4396038746286575
2,2015-03-20,970,-1.2783441674401077
2,2015-03-21,2302,-0.5452454303235602
2,2015-03-22,3665,0.20491491403819231
2,2015-03-23,462,-1.5579343764905629
2,2015-03-24,487,-1.5441750158089458
2,2015-03-25,615,-1.4737270891190675
2,2015-03-26,692,-1.4313482582196875
2,2015-03-27,1065,-1.2260585968499635
2,2015-03-28,2907,-0.21226890182843158
2,2015-03-29,4417,0.6187964833412282
2,2015-03-30,457,-1.5606862486268862
2,2015-03-31,579,-1.4935405685005958
2,2015-04-01,632,-1.4643707238555679
2,2015-04-02,743,-1.403279162429189
2,2015-04-03,1230,-1.135246816351292
2,2015-04-04,1974,-0.7257682424663737
2,2015-04-05,2201,-0.6008332474772924
2,2015-04-06,407,-1.58820496999012
2,2015-04-07,442,-1.5689418650358562
2,2015-04-08,613,-1.4748278379735968
2,2015-04-09,659,-1.4495106143194216
2,2015-04-10,988,-1.2684374277493435
2,2015-04-11,2658,-0.34931213421733576
2,2015-04-12,3661,0.20271341632913362
2,2015-04-13,454,-1.5623373719086802
2,2015-04-14,449,-1.5650892440450035
2,2015-04-15,572,-1.4973931894914485
2,2015-04-16,697,-1.4285963860833641
2,2015-04-17,1020,-1.250825446076874
2,2015-04-18,2803,-0.2695078422639578
2,2015-04-19,4108,0.4487307853164435
2,2015-04-20,515,-1.528764531845535
2,2015-04-21,867,-1.3350327334483694
2,2015-04-22,635,-1.462719600573774
2,2015-04-23,758,-1.395023546020219
2,2015-04-24,1212,-1.1451535560420563
2,2015-04-25,3147,-0.0801790392849095
2,2015-04-26,4524,0.6776865470585485
2,2015-04-27,505,-1.5342682761181816
2,2015-04-28,580,-1.492990194073331
2,2015-04-29,746,-1.401628039147395
2,2015-04-30,787,-1.3790626876295433
2,2015-05-01,1166,-1.1704707796962313
2,2015-05-02,2805,-0.2684070934094285
2,2015-05-03,5113,1.0018570847174422
2,2015-05-04,607,-1.4781300845371848
2,2015-05-05,660,-1.448960239892157
2,2015-05-06,777,-1.38456643190219
2,2015-05-07,764,-1.3917212994566308
2,2015-05-08,1186,-1.159463291150938
2,2015-05-09,2868,-0.23373350449175392
2,2015-05-10,3187,-0.0581640621943225
2,2015-05-11,555,-1.5067495547549479
2,2015-05-12,675,-1.4407046234831868
2,2015-05-13,782,-1.3818145597658666
2,2015-05-14,931,-1.29980877010343
2,2015-05-15,1230,-1.135246816351292
2,2015-05-16,3598,0.16803982741145906
2,2015-05-17,3913,0.3414077719998318
2,2015-05-18,789,-1.377961938775014
2,2015-05-19,950,-1.2893516559854012
2,2015-05-20,933,-1.2987080212489006
2,2015-05-21,1019,-1.2513758205041385
2,2015-05-22,1457,-1.0103118213622109
2,2015-05-23,2439,-0.46984413378829964
2,2015-05-24,2418,-0.4814019967608578
2,2015-05-25,1628,-0.9161977942999513
2,2015-05-26,603,-1.4803315822462435
2,2015-05-27,714,-1.4192400208198646
2,2015-05-28,858,-1.3399861032937512
2,2015-05-29,1287,-1.1038754739972056
2,2015-05-30,3153,-0.07687679272132146
2,2015-05-31,3848,0.3056334342276279
2,2015-06-01,1001,-1.2612825601949027
2,2015-06-02,833,-1.3537454639753683
2,2015-06-03,795,-1.3746596922114258
2,2015-06-04,956,-1.2860494094218131
2,2015-06-05,1430,-1.0251719308983571
2,2015-06-06,3173,-0.06586930417602795
2,2015-06-07,4015,0.39754596358082867
2,2015-06-08,787,-1.3790626876295433
2,2015-06-09,622,-1.4698744681282148
2,2015-06-10,799,-1.3724581945023673
2,2015-06-11,935,-1.2976072723943712
2,2015-06-12,1427,-1.026823054180151
2,2015-06-13,3305,0.006780120222909192
2,2015-06-14,3880,0.32324541590009753
2,2015-06-15,826,-1.357598084966221
2,2015-06-16,714,-1.4192400208198646
2,2015-06-17,903,-1.315219254066841
2,2015-06-18,1015,-1.2535773182131973
2,2015-06-19,1385,-1.0499387801252675
2,2015-06-20,3787,0.2720605941644827
2,2015-06-21,4648,0.7459329760393681
2,2015-06-22,669,-1.444006870046775
2,2015-06-23,750,-1.3994265414383362
2,2015-06-24,910,-1.3113666330759883
2,2015-06-25,1123,-1.1941368800686123
2,2015-06-26,1543,-0.9629796206174487
2,2015-06-27,4246,0.5246824562789687
2,2015-06-28,4656,0.7503359714574855
2,2015-06-29,967,-1.2799952907219017
2,2015-06-30,786,-1.379613062056808
3,2015-01-01,5874,1.42069202386586
3,2015-01-02,366,-1.6107703215079716
3,2015-01-03,981,-1.2722900487401962
3,2015-01-04,1110,-1.2012917476230531
3,2015-01-05,217,-1.6927761111704083
3,2015-01-06,264,-1.6669085130889685
3,2015-01-07,273,-1.6619551432435864
3,2015-01-08,325,-1.6333356730258233
3,2015-01-09,435,-1.572794486026709
3,2015-01-10,1302,-1.0956198575882354
3,2015-01-11,1782,-0.8314401325011913
3,2015-01-12,236,-1.6823189970523793
3,2015-01-13,241,-1.679567124916056
3,2015-01-14,318,-1.637188294016676
3,2015-01-15,347,-1.6212274356260004
3,2015-01-16,527,-1.522160038718359
3,2015-01-17,1413,-1.0345282961618565
3,2015-01-18,1828,-0.8061229088470163
3,2015-01-19,539,-1.5155555455911827
3,2015-01-20,223,-1.6894738646068201
3,2015-01-21,256,-1.671311508507086
3,2015-01-22,323,-1.6344364218803527
3,2015-01-23,496,-1.5392216459635637
3,2015-01-24,2455,-0.46103814295206486
3,2015-01-25,1906,-0.7631937035203716
3,2015-01-26,341,-1.6245296821895885
3,2015-01-28,231,-1.6850708691887029
3,2015-01-29,339,-1.6256304310441179
3,2015-01-30,467,-1.5551825043542393
3,2015-01-31,1717,-0.8672144702733953
3,2015-02-01,2067,-0.6745834207307588
3,2015-02-02,386,-1.599762832962678
3,2015-02-03,343,-1.623428933335059
3,2015-02-04,354,-1.6173748146351477
3,2015-02-05,381,-1.6025147050990014
3,2015-02-06,587,-1.4891375730824783
3,2015-02-07,1566,-0.9503210087903612
3,2015-02-08,2096,-0.6586225623400833
3,2015-02-09,266,-1.665807764234439
3,2015-02-10,280,-1.6581025222527337
3,2015-02-11,335,-1.6278319287531766
3,2015-02-12,468,-1.5546321299269747
3,2015-02-13,876,-1.3300793636029873
3,2015-02-14,2335,-0.5270830742238258
3,2015-02-15,2655,-0.35096325749912977
3,2015-02-16,1197,-1.1534091724510265
3,2015-02-17,419,-1.581600476862944
3,2015-02-18,433,-1.5738952348812383
3,2015-02-19,462,-1.5579343764905629
3,2015-02-20,737,-1.406581408992777
3,2015-02-21,1793,-0.8253860138012798
3,2015-02-22,2157,-0.6250497222769381
3,2015-02-23,380,-1.6030650795262662
3,2015-02-24,363,-1.6124214447897656
3,2015-02-25,399,-1.5926079654082372
3,2015-02-26,474,-1.5513298833633866
3,2015-02-27,675,-1.4407046234831868
3,2015-02-28,1750,-0.849052114173661
3,2015-03-01,2084,-0.6652270554672594
3,2015-03-02,339,-1.6256304310441179
3,2015-03-03,314,-1.6393897917257347
3,2015-03-04,342,-1.623979307762324
3,2015-03-05,444,-1.5678411161813268
3,2015-03-06,657,-1.450611363173951
3,2015-03-07,1750,-0.849052114173661
3,2015-03-08,3300,0.004028248086585815
3,2015-03-09,376,-1.605266577235325
3,2015-03-10,352,-1.618475563489677
3,2015-03-11,353,-1.6179251890624124
3,2015-03-12,482,-1.5469268879452693
3,2015-03-13,741,-1.4043799112837183
3,2015-03-14,1676,-0.8897798217912469
3,2015-03-15,1848,-0.7951154203017228
3,2015-03-16,465,-1.5562832532087687
3,2015-03-17,308,-1.6426920382893229
3,2015-03-18,502,-1.5359193993999758
3,2015-03-19,476,-1.5502291345088572
3,2015-03-20,643,-1.4583166051556566
3,2015-03-21,1592,-0.9360112736814796
3,2015-03-22,2479,-0.4478291566977126
3,2015-03-23,318,-1.637188294016676
3,2015-03-24,339,-1.6256304310441179
3,2015-03-25,420,-1.5810501024356791
3,2015-03-26,500,-1.5370201482545052
3,2015-03-27,747,-1.4010776647201304
3,2015-03-28,1851,-0.7934642970199287
3,2015-03-29,2703,-0.32454528499042534
3,2015-03-30,379,-1.6036154539535308
3,2015-03-31,366,-1.6107703215079716
3,2015-04-01,430,-1.5755463581630325
3,2015-04-02,464,-1.5568336276360335
3,2015-04-03,881,-1.3273274914666637
3,2015-04-04,1452,-1.0130636934985342
3,2015-04-05,1620,-0.9206007897180687
3,2015-04-06,335,-1.6278319287531766
3,2015-04-07,345,-1.6223281844805297
3,2015-04-08,437,-1.5716937371721798
3,2015-04-09,509,-1.532066778409123
3,2015-04-10,726,-1.4126355276926885
3,2015-04-11,1733,-0.8584084794371605
3,2015-04-12,2385,-0.4995643528605921
3,2015-04-13,354,-1.6173748146351477
3,2015-04-14,309,-1.642141663862058
3,2015-04-15,386,-1.599762832962678
3,2015-04-16,488,-1.5436246413816812
3,2015-04-17,715,-1.4186896463926
3,2015-04-18,1813,-0.8143785252559864
3,2015-04-19,2617,-0.3718774857351874
3,2015-04-20,395,-1.594809463117296
3,2015-04-21,506,-1.533717901690917
3,2015-04-22,444,-1.5678411161813268
